,Alabama-apple-driving,Alabama-apple-walking,Alaska-apple-driving,Alaska-apple-walking,Arizona-apple-driving,Arizona-apple-walking,Arkansas-apple-driving,Arkansas-apple-walking,California-apple-driving,California-apple-walking,Colorado-apple-driving,Colorado-apple-walking,Connecticut-apple-driving,Connecticut-apple-walking,Delaware-apple-driving,Delaware-apple-walking,Florida-apple-driving,Florida-apple-walking,Georgia-apple-driving,Georgia-apple-walking,Hawaii-apple-driving,Hawaii-apple-walking,Idaho-apple-driving,Idaho-apple-walking,Illinois-apple-driving,Illinois-apple-walking,Indiana-apple-driving,Indiana-apple-walking,Iowa-apple-driving,Iowa-apple-walking,Kansas-apple-driving,Kansas-apple-walking,Kentucky-apple-driving,Kentucky-apple-walking,Louisiana-apple-driving,Louisiana-apple-walking,Maine-apple-driving,Maine-apple-walking,Maryland-apple-driving,Maryland-apple-walking,Massachusetts-apple-driving,Massachusetts-apple-walking,Michigan-apple-driving,Michigan-apple-walking,Minnesota-apple-driving,Minnesota-apple-walking,Mississippi-apple-driving,Mississippi-apple-walking,Missouri-apple-driving,Missouri-apple-walking,Montana-apple-driving,Montana-apple-walking,Nebraska-apple-driving,Nebraska-apple-walking,Nevada-apple-driving,Nevada-apple-walking,New Hampshire-apple-driving,New Hampshire-apple-walking,New Jersey-apple-driving,New Jersey-apple-walking,New Mexico-apple-driving,New Mexico-apple-walking,New York-apple-driving,New York-apple-walking,North Carolina-apple-driving,North Carolina-apple-walking,North Dakota-apple-driving,North Dakota-apple-walking,Ohio-apple-driving,Ohio-apple-walking,Oklahoma-apple-driving,Oklahoma-apple-walking,Oregon-apple-driving,Oregon-apple-walking,Pennsylvania-apple-driving,Pennsylvania-apple-walking,Rhode Island-apple-driving,Rhode Island-apple-walking,South Carolina-apple-driving,South Carolina-apple-walking,South Dakota-apple-driving,South Dakota-apple-walking,Tennessee-apple-driving,Tennessee-apple-walking,Texas-apple-driving,Texas-apple-walking,Utah-apple-driving,Utah-apple-walking,Vermont-apple-driving,Vermont-apple-walking,Virginia-apple-driving,Virginia-apple-walking,Washington-apple-driving,Washington-apple-walking,West Virginia-apple-driving,West Virginia-apple-walking,Wisconsin-apple-driving,Wisconsin-apple-walking,Wyoming-apple-driving,Wyoming-apple-walking
2021-01-29,143.82,166.03,130.32,144.98,118.28,127.87,142.95,159.99,99.09,93.36,118.41,136.32,115.89,128.65,128.06,160.49,123.87,144.01,136.77,153.03,76.33,65.39,160.63,182.99,117.67,113.25,133.99,110.8,139.72,157.32,132.49,175.78,133.0,169.33,116.86,48.09,123.86,145.84,114.61,134.42,100.11,84.64,120.72,132.16,112.82,146.28,151.88,204.64,126.13,167.11,157.02,189.6,143.11,165.5,125.02,131.86,124.68,161.23,113.68,133.83,120.5,148.45,103.54,60.72,138.31,157.17,137.26,167.5,128.71,148.03,138.57,146.27,117.91,119.29,120.72,106.07,121.64,134.91,143.81,147.69,169.14,212.88,135.63,150.05,128.7,150.91,147.5,183.02,116.12,114.22,121.26,122.38,129.73,119.15,130.56,125.62,135.89,182.36,152.11,217.1
2021-01-30,140.23,163.53,129.36,128.69,122.97,143.92,126.34,147.39,104.5,109.73,115.19,139.9,116.34,134.95,122.37,156.81,119.65,152.03,134.93,165.79,78.47,68.54,158.89,194.35,101.23,107.87,120.9,106.42,109.84,130.59,125.81,174.74,124.7,156.62,112.59,54.13,125.26,158.32,118.59,144.6,98.96,94.09,114.93,127.17,106.17,144.48,143.3,193.16,119.18,163.63,153.11,180.58,140.59,157.39,128.66,157.56,131.81,184.48,117.55,147.29,115.79,144.66,102.54,68.44,135.05,165.39,127.86,170.48,124.76,147.78,130.81,142.63,110.2,116.96,122.98,118.94,123.23,142.99,138.26,159.45,168.66,210.64,131.06,153.77,127.07,166.57,152.2,191.65,123.05,128.98,123.89,134.17,122.91,116.98,125.16,119.3,127.29,176.03,153.97,206.61
2021-01-31,100.57,104.54,98.89,104.36,94.28,100.24,98.02,96.87,86.19,84.8,95.85,104.22,89.69,100.6,66.65,92.69,92.21,108.99,94.4,100.24,63.58,56.26,113.34,121.32,63.16,71.67,77.5,66.07,90.73,97.31,94.08,116.58,91.3,103.32,81.22,34.09,101.79,113.21,49.03,67.88,78.58,72.07,78.83,84.44,85.02,105.49,104.75,127.98,89.3,104.89,125.54,126.48,105.48,98.51,103.52,108.45,106.46,128.39,76.13,94.3,95.76,112.79,78.43,47.58,87.21,94.98,97.66,109.43,79.52,89.63,96.14,89.08,88.52,88.61,69.32,63.57,95.37,108.68,94.87,90.77,135.33,127.57,97.47,96.94,95.74,114.49,92.63,109.73,109.91,92.76,56.42,66.12,96.36,87.64,80.42,76.56,79.91,111.53,133.03,153.56
2021-02-01,113.35,128.94,111.67,127.95,99.55,103.9,114.59,128.84,87.55,84.42,93.32,94.57,35.82,57.66,65.0,95.27,101.5,108.02,106.37,107.99,67.32,58.29,130.68,146.02,90.22,88.99,101.98,80.94,108.67,115.95,105.28,144.36,100.04,120.55,93.87,35.22,102.57,131.1,55.78,73.57,63.55,61.16,95.71,100.44,87.67,114.0,119.1,159.92,98.31,119.63,130.32,160.65,111.98,115.22,108.48,97.17,85.5,131.1,35.33,60.06,102.43,125.45,45.43,28.86,108.99,115.68,104.88,125.24,96.75,107.86,112.8,119.6,97.24,94.89,50.65,54.93,62.8,79.3,113.77,104.21,123.23,142.69,102.77,99.43,102.96,118.11,117.31,138.22,91.99,100.25,75.03,79.45,107.58,96.99,90.88,88.58,102.25,136.23,124.49,165.03
2021-02-02,117.16,132.43,112.14,127.5,100.44,107.53,117.08,134.77,89.09,86.65,97.55,103.58,73.42,91.66,81.25,110.34,102.51,109.81,109.27,112.95,66.81,57.35,129.49,144.67,95.67,89.27,109.16,85.18,111.85,121.76,108.89,145.03,107.18,128.64,96.13,35.55,53.55,76.14,74.89,90.39,63.75,61.95,99.81,106.49,90.19,116.75,122.37,161.81,101.48,127.6,133.56,161.43,113.85,121.11,106.59,95.1,64.09,91.13,54.52,83.28,103.4,129.37,61.23,39.84,111.59,117.98,110.06,128.89,104.37,116.06,115.71,123.78,97.63,97.74,65.77,65.31,86.49,100.96,117.06,108.45,125.48,145.18,107.63,105.71,104.48,119.51,118.61,144.65,68.82,87.11,87.13,87.37,109.75,97.49,92.32,88.49,106.17,138.01,124.06,166.78
2021-02-03,119.64,136.6,115.13,124.4,102.69,108.86,117.04,137.91,91.86,88.65,98.03,99.79,100.75,114.93,106.95,136.25,104.51,112.41,113.7,117.83,64.35,53.78,133.49,140.74,99.82,94.96,111.46,89.34,115.05,124.13,111.66,152.21,113.1,138.09,98.53,37.39,106.71,126.71,95.82,110.37,89.71,78.45,105.97,113.18,93.07,119.1,123.72,171.2,105.65,134.22,128.73,159.8,114.75,119.85,108.05,94.9,104.06,135.8,91.43,115.28,105.36,128.4,86.29,55.41,116.51,125.9,111.53,136.84,108.45,119.39,117.14,123.84,101.84,102.99,96.49,85.06,108.29,126.0,120.17,113.54,126.55,142.94,111.48,109.91,106.25,120.53,115.84,141.54,93.36,103.5,98.93,98.16,115.57,105.2,111.23,100.83,111.09,143.44,124.61,161.49
2021-02-04,124.66,135.84,114.81,125.63,107.2,114.18,120.0,132.23,94.82,90.97,99.36,103.83,107.59,120.34,111.73,141.18,108.76,119.62,116.64,119.89,69.71,60.25,143.21,152.91,92.64,85.23,109.91,84.88,76.28,93.47,108.67,143.73,113.88,135.07,103.37,39.08,114.02,133.26,100.07,115.44,94.15,82.59,107.16,112.65,89.1,117.2,127.35,166.02,101.63,126.83,135.71,156.39,104.39,111.0,112.76,105.8,109.49,148.24,101.87,126.34,109.95,135.47,95.89,62.29,118.8,127.25,109.8,128.95,110.52,119.34,119.88,120.16,104.87,100.77,106.1,93.82,111.53,122.19,124.01,117.43,131.3,155.67,114.3,110.64,110.69,125.75,127.74,152.22,105.16,109.83,104.18,105.63,113.95,99.61,116.43,106.58,86.0,124.03,137.56,178.76
2021-02-05,144.72,157.61,130.31,140.35,124.55,138.85,145.4,166.3,112.61,108.35,120.19,130.28,118.83,136.15,130.07,163.91,128.12,151.69,136.59,149.47,78.74,67.63,165.63,189.07,112.47,108.94,128.6,106.34,130.06,144.28,136.23,181.44,134.29,164.71,115.08,46.12,125.51,154.61,116.81,142.38,104.66,98.93,110.47,124.84,107.61,139.23,150.65,204.74,129.41,170.69,145.16,182.75,140.54,142.69,132.45,143.1,125.71,160.45,115.52,147.6,123.24,155.02,106.1,71.83,135.95,152.98,132.12,166.17,126.63,145.51,143.38,149.36,119.79,124.79,122.34,113.61,127.19,145.66,142.65,145.56,172.55,219.6,137.41,150.65,129.45,148.42,151.35,181.74,121.34,125.58,120.8,125.34,131.35,125.88,130.69,123.71,123.57,167.58,160.97,206.18
2021-02-06,133.75,151.29,126.94,132.82,123.54,143.97,130.17,148.01,110.22,117.39,118.44,139.05,123.89,144.94,125.31,164.18,122.22,161.09,128.93,154.58,80.92,71.72,161.77,189.81,104.78,106.64,126.55,115.17,116.06,129.9,115.53,157.98,128.45,163.43,109.13,51.21,131.99,170.3,117.43,145.55,106.84,110.98,111.33,131.16,100.24,131.28,140.73,197.38,110.8,154.66,130.3,161.82,102.59,112.96,135.86,171.86,140.88,191.74,119.7,158.58,119.5,149.19,104.23,78.58,133.88,166.02,119.19,165.45,127.0,153.29,128.53,135.8,112.64,117.04,123.46,123.6,131.79,159.27,134.81,153.38,158.97,209.14,132.72,159.11,129.08,165.5,162.54,204.6,131.43,122.77,122.92,138.32,126.07,121.33,122.78,118.1,123.04,175.15,153.05,194.03
2021-02-07,98.47,104.83,94.41,112.02,85.75,93.37,92.22,94.72,79.52,82.58,87.14,95.45,54.86,75.7,69.01,103.72,93.23,123.61,99.18,110.08,58.86,54.65,105.07,112.29,76.3,75.1,86.09,70.91,85.0,87.4,79.39,110.4,89.8,108.64,78.44,35.19,87.43,104.73,67.35,85.76,59.64,63.94,82.9,93.21,72.4,92.25,99.61,128.3,76.91,98.54,101.99,107.92,77.69,80.79,103.13,123.05,87.35,103.68,57.36,84.16,87.19,103.88,59.86,40.64,93.12,105.68,85.85,102.2,89.09,101.87,89.82,84.4,85.4,88.74,68.84,67.65,61.94,86.76,97.17,97.16,109.58,112.81,92.47,94.12,90.3,108.62,91.34,111.07,97.45,81.27,72.66,79.29,93.97,89.35,87.61,77.21,87.99,112.86,117.14,144.35
2021-02-08,116.06,130.76,108.98,120.13,100.55,107.69,110.45,120.22,90.88,86.44,92.64,95.29,96.04,109.9,107.64,134.13,104.17,111.84,109.83,112.87,69.66,61.64,131.96,139.94,89.15,77.98,101.63,81.2,99.74,101.6,86.98,109.73,105.51,126.59,92.44,35.5,102.86,118.5,91.33,107.03,83.03,71.39,96.16,99.52,84.58,103.13,119.99,157.46,86.52,100.59,115.47,142.74,98.78,94.98,111.51,109.77,98.69,130.24,93.64,112.08,101.78,125.74,86.1,53.95,111.63,121.91,95.16,115.48,101.33,106.6,93.48,83.52,97.81,95.57,97.76,81.28,95.92,108.72,116.32,108.57,110.62,134.61,107.33,104.6,101.49,114.02,119.83,141.65,95.91,89.77,95.18,95.07,108.53,96.91,107.8,101.16,97.65,122.2,117.68,162.94
2021-02-09,120.44,135.54,111.58,128.15,102.12,107.03,112.75,124.33,91.27,86.7,93.06,92.25,79.88,94.47,106.99,136.91,106.64,114.88,112.66,114.5,70.65,60.81,131.98,143.66,95.04,85.31,105.98,85.6,107.65,113.43,95.03,120.53,106.55,126.27,100.2,37.58,99.17,115.55,96.6,113.3,75.79,66.76,101.46,109.2,90.28,107.7,124.11,165.89,89.58,103.71,119.99,145.12,106.46,106.78,110.92,99.47,86.63,116.63,93.59,109.55,103.95,126.48,86.05,54.58,115.6,125.28,102.3,120.75,99.45,107.91,91.55,90.37,101.76,101.33,94.82,81.66,91.22,102.0,119.04,111.21,115.39,133.62,109.67,105.53,104.9,115.64,120.06,144.59,89.34,89.6,99.29,99.32,112.35,102.78,105.88,94.05,103.13,131.86,121.49,160.51
2021-02-10,123.65,142.88,113.79,125.5,106.11,111.52,95.81,109.12,95.68,91.51,97.06,96.63,105.84,116.07,113.91,151.9,110.44,120.85,120.12,123.87,72.41,64.1,139.08,155.6,96.23,85.48,106.68,83.04,107.56,111.2,98.75,124.79,95.01,110.44,99.91,37.99,110.79,126.12,100.56,115.41,92.25,79.69,103.46,108.87,89.74,111.02,124.26,164.55,88.24,106.17,122.55,150.73,109.25,103.47,115.55,107.4,107.95,136.46,100.31,117.69,107.46,126.8,94.75,59.69,117.46,124.64,104.17,120.96,110.23,112.34,69.77,72.17,108.72,107.36,104.47,88.95,112.2,122.05,121.41,113.59,118.24,132.62,111.61,110.97,103.67,113.15,125.61,154.98,101.0,94.41,102.32,99.0,118.54,107.24,102.68,94.43,104.64,129.33,122.12,157.95
2021-02-11,124.41,133.56,120.03,128.08,112.95,120.49,77.96,93.78,99.79,92.05,104.86,110.03,107.73,117.38,100.56,148.21,116.17,128.93,123.74,125.32,76.29,69.17,144.5,156.6,101.33,91.33,110.21,86.03,110.34,114.3,106.33,131.3,76.14,91.89,97.69,36.83,115.14,135.66,86.66,101.45,94.45,81.02,109.91,114.76,93.69,115.44,117.72,157.73,97.63,118.24,128.62,143.52,114.71,110.67,118.67,115.74,110.71,141.03,96.53,113.77,116.39,140.75,95.2,59.2,119.25,127.12,109.62,141.6,111.85,120.88,84.38,85.39,94.64,92.4,100.31,87.29,112.15,122.65,128.17,122.99,128.27,148.74,104.12,105.25,98.53,102.28,138.56,164.83,103.73,100.05,97.1,96.01,110.81,98.0,92.88,87.43,110.93,133.18,130.22,164.9
2021-02-12,153.95,169.04,148.96,173.51,138.44,151.69,117.22,138.92,119.6,114.81,118.76,133.87,126.99,140.19,134.97,197.47,137.27,159.3,146.43,171.49,92.99,86.85,169.68,184.89,121.95,121.86,137.03,111.29,134.54,140.68,123.91,159.58,125.61,154.81,116.45,47.28,138.13,167.99,117.64,141.06,110.52,102.99,130.53,143.58,113.87,146.19,150.56,200.08,121.58,158.56,153.64,183.42,128.13,127.09,144.56,168.93,135.62,175.09,122.58,149.1,136.26,166.39,113.74,76.59,141.52,159.62,139.37,167.23,136.69,157.27,101.54,107.7,74.66,95.56,129.93,121.3,135.19,153.81,153.09,158.72,161.34,189.51,142.31,159.01,117.94,132.45,171.28,220.67,130.77,126.84,111.43,117.59,113.0,112.4,135.15,122.7,139.32,182.09,145.25,203.03
2021-02-13,144.05,170.89,143.53,143.52,139.97,164.34,115.48,144.19,115.44,128.24,108.17,136.42,128.18,150.97,117.47,194.76,132.36,175.14,141.59,194.59,95.9,93.38,137.09,176.87,112.64,134.35,132.03,117.81,131.44,153.67,116.5,163.8,124.2,168.39,108.57,53.12,142.68,215.02,97.76,131.97,110.87,121.05,122.45,147.29,107.78,148.41,138.58,203.01,114.94,165.84,145.45,185.75,138.63,153.19,154.12,218.53,150.67,214.27,116.65,153.78,126.8,161.43,109.63,84.71,133.35,176.56,129.7,180.18,133.86,168.49,92.23,101.25,64.78,111.19,122.6,130.46,137.38,174.06,144.25,178.87,156.81,218.46,138.5,186.41,103.92,131.22,164.8,218.93,144.97,152.51,95.73,112.98,62.2,107.59,120.08,126.19,126.71,186.63,133.14,210.87
2021-02-14,107.88,119.31,117.89,126.17,112.91,133.66,58.84,74.88,103.54,117.55,84.37,107.49,96.24,120.44,100.56,163.98,108.33,143.48,112.37,145.46,84.93,86.59,111.09,136.36,93.55,105.42,99.16,85.28,98.68,101.43,66.19,93.35,98.08,121.22,76.17,39.83,114.67,163.16,92.52,122.24,87.34,102.48,100.14,116.72,85.65,112.25,84.65,115.89,77.96,104.76,123.89,133.65,101.29,105.33,138.13,192.25,117.2,154.09,94.6,128.05,82.14,100.34,91.77,76.45,108.53,132.81,102.63,126.05,104.29,121.14,35.38,43.35,65.18,92.99,97.46,101.84,108.27,141.65,110.66,119.76,120.07,141.91,93.26,111.6,53.43,75.0,107.46,144.08,124.89,114.98,97.48,109.99,61.22,88.83,101.92,88.79,104.95,140.37,119.21,174.46
2021-02-15,82.42,95.18,109.17,119.3,106.79,110.11,33.8,71.11,90.09,85.72,90.47,98.56,91.87,101.9,106.0,172.68,107.74,121.8,107.03,111.32,75.81,74.62,118.35,122.98,79.95,72.41,75.95,60.05,94.64,96.69,66.05,87.53,55.87,76.68,41.08,21.51,113.08,129.26,90.07,103.26,78.95,72.15,91.04,92.99,81.52,98.99,45.77,86.89,51.5,68.29,126.93,145.74,92.24,85.65,120.15,130.16,105.86,127.33,90.43,106.13,89.85,106.4,81.73,55.56,109.59,117.03,102.96,120.12,76.53,83.74,36.3,43.01,74.98,86.32,88.58,79.83,95.36,107.64,113.59,108.02,117.37,131.66,56.09,82.19,35.85,58.44,124.61,143.36,113.71,99.88,96.45,94.61,84.64,82.51,81.8,75.14,95.17,114.04,118.55,156.25
2021-02-16,74.54,88.58,115.93,133.39,107.1,112.59,48.61,81.07,93.31,88.9,95.42,102.96,94.28,107.95,111.63,164.49,109.77,120.31,106.85,109.24,78.91,74.25,129.02,137.87,76.51,76.26,65.47,59.42,100.65,104.87,82.68,104.87,59.92,78.97,60.07,26.22,77.81,106.18,92.53,106.17,82.61,72.64,78.77,91.2,87.19,105.87,64.97,108.0,69.3,88.92,128.87,156.53,98.32,94.53,115.59,116.55,90.05,113.88,95.05,114.15,83.54,101.68,86.05,59.15,116.88,128.89,104.79,122.11,74.54,87.85,51.28,59.76,102.13,105.09,93.69,82.91,105.51,118.73,121.48,119.69,116.68,128.82,59.79,84.83,51.07,67.46,120.96,143.32,85.74,92.76,100.18,98.48,110.8,102.35,91.34,78.48,97.69,123.96,123.02,171.98
2021-02-17,111.82,123.7,115.22,125.43,108.55,112.76,40.78,70.48,95.64,92.01,95.24,96.34,108.58,118.81,116.09,176.96,111.99,122.44,117.59,117.37,78.54,69.61,134.26,145.11,95.14,88.38,100.65,78.68,107.16,109.73,91.9,113.91,87.83,109.83,77.88,30.12,124.54,149.91,104.16,116.99,97.5,83.47,102.65,106.91,91.5,104.88,68.96,105.07,76.49,93.97,131.13,161.11,108.24,99.18,115.03,111.64,118.95,145.43,105.61,120.81,98.74,120.6,100.94,63.63,121.17,127.89,107.76,125.6,104.03,114.27,45.32,59.74,110.25,110.28,106.7,91.45,119.14,124.6,123.58,114.45,117.31,134.9,67.7,83.61,48.54,62.86,120.26,140.27,116.83,120.85,108.68,101.06,116.24,105.67,109.26,101.15,105.4,132.82,120.64,169.77
2021-02-18,113.2,122.56,118.76,133.72,112.5,118.3,57.99,83.63,98.11,92.93,101.79,108.9,76.04,87.41,67.03,103.71,117.22,129.97,113.87,115.71,77.71,71.69,140.6,147.86,99.94,93.67,102.0,80.5,116.47,121.98,106.71,131.46,80.01,101.2,86.13,34.54,124.99,146.93,50.5,65.98,89.49,77.03,106.42,109.57,96.6,117.03,77.25,106.58,96.4,118.15,142.22,168.87,118.51,113.43,118.95,119.92,116.55,140.53,54.15,71.54,102.53,121.59,70.79,43.63,95.3,103.66,119.09,147.08,101.3,112.46,74.62,81.24,114.9,106.69,62.9,60.65,100.43,104.27,117.8,111.44,133.51,146.53,62.81,80.95,58.41,70.64,134.74,160.6,116.48,109.09,63.24,65.69,118.01,103.3,82.32,79.89,112.62,138.99,132.33,190.02
2021-02-19,146.47,158.67,136.69,146.39,130.43,141.78,84.0,109.49,114.25,109.96,123.91,142.38,95.03,110.64,109.87,165.96,132.84,151.33,142.62,156.27,86.43,78.65,161.34,187.84,117.93,116.84,129.36,107.75,143.07,153.32,130.82,168.2,116.61,142.31,105.64,44.69,128.73,155.56,100.21,119.74,91.14,85.86,124.42,135.98,114.57,148.96,103.97,136.16,120.5,154.6,161.59,199.31,146.75,147.45,139.99,162.8,121.79,153.61,95.2,116.87,126.16,153.8,92.61,61.81,135.2,148.87,147.41,185.6,127.23,144.17,110.24,118.06,131.49,126.21,105.23,100.62,109.68,127.42,148.32,147.75,168.02,208.68,92.56,111.88,91.63,106.39,159.08,201.24,130.27,130.68,106.62,108.2,134.52,124.77,118.65,116.86,139.56,178.27,165.72,214.41
2021-02-20,144.52,167.37,131.82,129.25,132.79,151.22,95.63,120.15,112.8,120.06,118.04,145.84,122.53,140.21,127.93,173.8,131.38,170.96,145.11,185.43,89.03,84.36,158.48,188.0,118.66,132.21,129.11,111.64,150.62,169.58,135.11,184.53,120.9,159.56,108.84,51.02,134.95,175.61,114.24,142.18,102.43,106.68,123.88,144.02,116.03,154.24,118.27,165.41,126.61,177.12,156.88,191.62,150.33,168.43,140.9,189.39,143.56,194.91,118.32,150.27,123.49,155.73,103.03,77.32,141.09,178.41,146.61,203.46,126.91,154.8,120.51,129.89,122.68,136.04,122.26,121.98,126.75,156.07,150.86,184.63,181.51,230.27,109.56,141.75,110.04,137.92,160.26,203.74,137.86,138.05,122.1,130.17,132.61,135.3,118.66,118.16,143.27,202.54,152.96,192.75
2021-02-21,108.3,108.4,106.25,108.34,99.8,107.06,81.92,89.91,94.16,96.01,96.88,105.82,95.84,107.8,97.97,126.72,100.91,120.34,108.81,120.86,73.24,68.57,111.29,117.36,83.23,84.08,92.27,68.17,91.99,90.6,93.8,112.67,94.4,105.1,82.22,34.66,114.8,129.37,87.33,103.48,82.09,78.77,91.09,95.9,85.92,103.04,103.05,130.07,89.56,106.43,131.13,126.02,91.56,87.59,117.72,137.98,118.28,137.08,90.97,110.68,99.58,111.46,84.28,59.22,105.62,114.26,108.13,121.42,94.42,101.59,94.15,90.26,95.78,95.64,93.94,85.55,97.45,112.69,111.79,108.8,131.67,135.86,95.44,99.93,91.77,109.96,101.15,119.85,124.52,93.49,94.04,92.46,102.2,97.53,103.83,90.38,102.88,124.77,152.17,148.36
2021-02-22,122.9,131.33,115.04,128.8,106.36,110.87,121.75,139.3,94.88,90.42,100.37,109.81,93.66,100.54,101.94,141.35,109.35,119.15,111.14,113.29,76.08,69.12,134.05,141.72,96.92,88.79,108.93,81.27,110.43,115.53,111.05,146.59,113.05,135.22,101.93,39.39,104.27,117.68,82.93,93.02,83.87,70.15,100.42,103.15,90.34,114.97,136.04,183.23,105.36,129.92,131.03,162.51,110.92,111.52,116.72,116.74,102.79,127.66,88.22,100.51,106.64,129.28,84.22,50.8,111.04,117.39,107.01,128.28,105.35,109.56,125.23,125.78,104.83,100.3,88.3,73.21,101.59,105.98,118.39,109.93,125.35,143.61,116.39,116.02,112.62,128.36,124.54,147.0,101.65,91.6,94.26,89.8,111.57,98.15,111.65,98.2,103.33,131.52,144.06,176.03
2021-02-23,130.61,142.07,117.58,124.38,107.93,112.66,133.3,155.59,96.34,92.46,101.89,109.58,103.96,114.88,118.85,163.01,112.24,122.14,119.11,124.37,76.87,68.2,137.61,146.33,102.24,98.86,114.48,91.5,115.81,125.16,119.4,164.86,121.68,150.37,107.32,40.7,112.65,136.48,101.25,116.14,90.49,78.38,105.72,112.3,93.14,118.56,141.9,190.23,113.4,144.33,129.89,161.02,117.21,118.3,119.19,111.21,112.46,141.87,101.05,117.56,111.01,132.49,93.73,59.75,122.7,134.64,107.47,124.73,113.85,122.03,131.42,135.46,107.14,104.76,105.97,91.15,109.95,115.13,127.13,120.5,129.04,157.67,123.73,125.98,117.49,131.32,125.94,151.88,103.13,96.65,108.08,106.59,114.73,103.6,121.42,109.52,108.32,138.95,130.68,172.03
2021-02-24,133.41,148.47,122.14,131.79,112.0,118.39,134.86,156.69,99.04,94.87,100.33,103.9,109.72,121.25,124.61,167.7,114.36,124.26,126.08,132.65,79.24,68.92,140.98,152.31,105.48,99.62,117.13,92.58,119.05,120.19,118.41,150.02,123.87,147.4,107.63,40.95,120.43,143.26,109.73,129.62,96.43,88.44,108.97,115.8,97.38,126.43,140.73,191.92,113.29,143.63,139.9,171.07,118.74,116.01,118.15,111.19,118.32,146.68,107.87,127.89,115.99,142.18,100.29,68.05,129.02,144.21,112.63,141.14,116.51,125.11,131.28,131.2,115.95,115.07,112.34,101.57,118.17,133.61,132.42,130.9,135.38,166.7,128.86,131.89,119.96,133.06,127.66,152.0,109.63,106.53,113.22,115.61,121.76,110.53,128.04,120.06,112.09,144.24,136.72,181.79
2021-02-25,140.8,151.54,126.84,135.43,116.66,121.96,136.18,150.36,102.31,97.46,95.21,107.81,111.8,128.66,126.35,170.65,120.08,133.21,131.87,139.33,79.68,72.1,148.18,150.21,108.91,103.59,121.64,96.26,124.59,129.16,122.8,155.33,127.87,153.02,111.65,43.88,121.31,143.62,109.22,127.48,97.59,87.66,112.58,121.88,102.55,133.27,145.37,190.78,116.49,143.16,151.2,176.87,126.14,126.16,123.13,120.16,119.66,146.83,109.33,128.11,117.81,141.54,103.5,68.48,132.21,144.68,122.17,152.95,120.82,131.86,136.81,132.42,113.91,105.68,115.24,102.36,118.18,128.22,140.56,140.08,149.78,176.63,134.18,136.6,121.02,129.63,138.08,166.34,113.7,109.27,115.33,114.9,121.62,108.97,132.69,118.3,119.16,153.26,143.96,193.69
2021-02-26,159.44,172.63,146.62,149.67,136.4,147.7,157.35,176.14,121.29,116.18,126.87,149.84,131.4,149.58,147.88,196.36,140.51,165.48,145.27,161.98,91.14,81.51,171.12,182.21,130.01,134.47,143.95,119.3,151.26,166.49,146.88,192.73,146.03,172.66,131.95,57.88,143.88,177.34,126.9,149.99,114.19,108.7,133.46,149.79,120.58,161.45,166.61,215.54,138.54,177.94,170.88,209.39,154.71,159.09,144.68,168.24,144.19,191.32,127.08,154.39,138.32,162.69,118.83,82.1,147.33,161.74,149.65,191.72,140.4,159.43,157.17,157.93,132.39,126.27,135.1,129.23,145.46,166.48,161.23,170.42,181.12,235.65,148.64,165.7,142.99,163.24,165.18,202.52,140.68,152.41,133.37,133.91,145.13,133.96,147.66,132.28,146.7,199.61,162.39,216.29
2021-02-27,156.51,181.27,142.88,155.07,134.71,155.77,147.68,174.7,119.6,129.33,121.17,151.3,122.86,141.41,138.11,181.49,139.05,179.57,153.99,196.73,92.26,84.81,168.29,193.97,138.04,168.86,147.65,145.51,160.1,200.63,154.59,220.84,143.13,185.29,126.29,65.12,123.41,166.07,120.82,154.02,103.92,105.64,135.06,164.93,123.12,181.95,167.98,230.84,147.12,212.78,169.31,200.98,162.77,190.06,147.88,198.38,129.39,180.83,121.62,158.32,133.29,166.31,110.08,82.99,149.05,193.31,145.47,199.01,141.05,180.98,153.81,162.8,127.27,137.99,129.91,139.1,132.15,160.59,163.87,207.99,183.1,248.06,144.12,184.54,140.91,179.33,161.39,194.82,131.48,141.2,129.65,145.17,144.98,146.26,136.78,127.74,150.28,235.83,166.5,219.49
2021-02-28,114.42,116.55,114.11,126.17,102.18,106.7,104.71,106.07,97.38,99.7,98.1,108.96,96.29,106.74,99.55,124.86,108.8,129.77,117.23,132.51,75.68,70.9,118.57,120.55,95.97,102.26,103.87,84.25,114.33,113.86,107.56,131.38,103.32,111.87,89.35,39.91,119.26,137.42,86.81,99.82,85.56,85.37,97.21,102.87,87.85,114.91,117.99,147.45,103.44,124.1,135.0,132.48,114.68,105.17,119.2,138.39,116.67,136.16,90.42,107.54,107.61,119.32,86.22,57.58,113.3,127.53,108.71,119.43,100.82,111.52,107.37,96.18,106.53,114.93,93.96,81.87,103.24,118.97,121.86,126.49,131.2,144.15,107.34,110.89,102.24,117.44,103.0,114.67,121.28,96.55,97.44,93.85,109.26,104.2,110.85,89.33,110.34,139.01,153.27,176.29
